openalex_author_id,author,publisher,unique_retracted_papers
A5030168404,Bin Wang,Hindawi,1
A5030220372,Jie Wang,Wiley,1
A5030296858,Hao Wang,Hindawi,1
A5030335492,Yan Zhang,Hindawi,2
A5030335492,Yan Zhang,Cellular Physiol Biochem Press,1
A5030335492,Yan Zhang,Frontiers,1
A5030335492,Yan Zhang,Spandidos,1
A5030361217,Hao Zhang,Hindawi,1
A5030450451,Ying Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5030450451,Ying Liu,IOP Publishing,1
A5030551183,Bin Wang,PLoS,1
A5030551183,Bin Wang,Wiley,1
A5030625908,Tao Li,Hindawi,1
A5030686595,Jun Yang,Springer,1
A5030715283,M. Ghoranneviss,Springer,40
A5030715283,M. Ghoranneviss,Elsevier,19
A5030715283,M. Ghoranneviss,Springer - Nature Publishing Group,13
A5030823415,Yang Li,American Society for Cell Biology,1
A5030853272,Jin Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5030932645,Feng Li,Hindawi,1
A5030943557,Zhang Jin,Hindawi,2
A5030964174,Yu Liu,Hindawi,1
A5030965157,Wang Fang,Hindawi,1
A5031091204,Wei Wang,Hindawi,1
A5031232338,Wei Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5031327561,Yoshitaka Fujii,Springer,51
A5031327561,Yoshitaka Fujii,Elsevier,27
A5031327561,Yoshitaka Fujii,Wolters Kluwer - Lippincott Williams & Wilkins,22
A5031327561,Yoshitaka Fujii,Wiley,17
A5031327561,Yoshitaka Fujii,Oxford University Press,10
A5031327561,Yoshitaka Fujii,Wolters Kluwer,9
A5031327561,Yoshitaka Fujii,American Medical Association,3
A5031327561,Yoshitaka Fujii,Australian Society of Anaesthetists,2
A5031327561,Yoshitaka Fujii,Wiley-Blackwell,2
A5031327561,Yoshitaka Fujii,BMJ Publishing,1
A5031327561,Yoshitaka Fujii,Karger,1
A5031327561,Yoshitaka Fujii,SAGE Publications,1
A5031388726,Jin Zhang,Springer,1
A5031426722,Bo Wang,Hindawi,1
A5031540238,Jing Yang,Elsevier,1
A5031540238,Jing Yang,Springer,1
A5031646526,Jing Zhang,Hindawi,1
A5031733486,Rui Zhang,Hindawi,1
A5031774812,Jun Yang,Hindawi,1
A5032071700,Tao Liu,"International Scientific Information, Inc",1
A5032071700,Tao Liu,Spandidos,1
A5032073958,Dan Wang,Hindawi,1
A5032161264,Jie Li,Hindawi,1
A5032165975,Hui Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5032276114,Jing Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5032306716,Lei Zhang,Hindawi,1
A5032345419,Hui Zhang,Elsevier,1
A5032345419,Hui Zhang,IOS Press (bought by Sage November 2023),1
A5032355023,Yu Wang,Hindawi,1
A5032383296,Yan Wang,Hindawi,1
A5032441724,Tao Wang,Hindawi,1
A5032456044,Yu Zhang,Springer - Biomed Central (BMC),1
A5032504496,Gang Wang,Hindawi,1
A5032506525,Jian Zhang,Hindawi,1
A5032562681,Hao Chen,Mary Ann Liebert,1
A5032618552,Yan Zhang,Hindawi,1
A5032620244,Wei Li,Hindawi,1
A5032622694,Hao Wang,Wiley,1
A5032633956,Jun Yang,Spandidos,1
A5032656905,Ying Wang,Hindawi,1
A5032721022,Jie Zhang,Hindawi,1
A5032847461,Wei Li,Hindawi,1
A5032988165,Gang Wang,Springer,1
A5033131662,T. Liu,International Union of Crystallography,1
A5033134984,Wei Li,Hindawi,1
A5033255645,Tao Liu,Hindawi,1
A5033259869,Hao Wang,Wiley,1
A5033311186,Qian Zhang,Hindawi,1
A5033408038,Ling Wang,IOS Press (bought by Sage November 2023),1
A5033424831,Yu Liu,AIP Publishing,1
A5033612860,Jing Li,Wiley,1
A5033645349,Jie Zhang,Hindawi,1
A5033731690,Wei Li,IEEE: Institute of Electrical and Electronics Engineers,2
A5033828504,Jin Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5033850890,Feng Li,Hindawi,1
A5033904866,Wenting Zhao,Elsevier,1
A5033935681,Yang Liu,Hindawi,1
A5033945545,Tao Zhang,Hindawi,1
A5033994816,Yi Wang,Hindawi,1
A5034013411,Feng Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5034017799,Qiang Li,Cellular Physiol Biochem Press,1
A5034017799,Qiang Li,Hindawi,1
A5034017799,Qiang Li,Oxford University Press,1
A5034017799,Qiang Li,Taylor and Francis,1
A5034017799,Qiang Li,Taylor and Francis - Dove Press,1
A5034151733,Ping Wang,IEEE: Institute of Electrical and Electronics Engineers,2
A5034182828,Jing Zhao,Hindawi,1
A5034225464,Yan Liu,Hindawi,1
A5034257967,Jian Xu,IEEE: Institute of Electrical and Electronics Engineers,1
A5034257967,Jian Xu,Taylor and Francis,1
A5034280484,Hui Liu,Hindawi,1
A5034484272,Peng Li,Hindawi,1
A5034537860,Qiang Li,Hindawi,1
