openalex_author_id,author,paper_key,doi,source_author_names,publication_year,retraction_year,retraction_lag_years,match_type
A5008881437,Wei Zhang,doi:10.1111/acel.12951,10.1111/acel.12951,Wei Zhang,2019,2024,5,Exact
A5008916846,Bo Wang,doi:10.1155/2022/1213278,10.1155/2022/1213278,Bo Wang,2022,2023,1,Exact
A5008992137,Jing Wang,doi:10.1155/2022/1972516,10.1155/2022/1972516,Jing Wang,2022,2023,1,Exact
A5009045763,Jing Li,doi:10.1155/2022/3049619,10.1155/2022/3049619,Jing Li,2022,2023,1,Exact
A5009386422,Jian Xu,doi:10.1038/nature07409,10.1038/nature07409,Jian Xu,2008,2014,6,Exact
A5009404304,Gang Wang,doi:10.1155/2022/4908978,10.1155/2022/4908978,Gang Wang,2022,2023,1,Exact
A5009411552,Qian Zhang,doi:10.1177/0044118x18770309,10.1177/0044118x18770309,Qian Zhang,2018,2019,1,Exact
A5009411552,Qian Zhang,doi:10.1177/0044118x18775846,10.1177/0044118x18775846,Qian Zhang,2018,2019,1,Exact
A5009411552,Qian Zhang,doi:10.1016/j.chb.2014.03.008,10.1016/j.chb.2014.03.008,Qian Zhang,2014,2021,7,Exact
A5009411552,Qian Zhang,doi:10.1002/ab.21836,10.1002/ab.21836,Qian Zhang,2019,2022,3,Exact
A5009411552,Qian Zhang,doi:10.1016/j.paid.2015.09.017,10.1016/j.paid.2015.09.017,Qian Zhang,2015,2022,7,Exact
A5009517684,Jian Xu,doi:10.1007/s11277-020-07244-y,10.1007/s11277-020-07244-y,Jian Xu,2020,2022,2,Exact
A5009553418,Lin Zhang,doi:10.1155/2022/5422333,10.1155/2022/5422333,Lin Zhang,2022,2023,1,Exact
A5009695635,Juan Li,doi:10.1155/2022/7114630,10.1155/2022/7114630,Juan Li,2022,2023,1,Exact
A5009949085,Wei Zhao,doi:10.1109/peam.2011.6134946,10.1109/peam.2011.6134946,Wei Zhao,2011,2012,1,Exact
A5009985129,Hironobu Ueshima,doi:10.1097/aap.0000000000000375,10.1097/aap.0000000000000375,Hironobu Ueshima,2016,2020,4,Exact
A5009985129,Hironobu Ueshima,doi:10.1097/aap.0000000000000463,10.1097/aap.0000000000000463,Hironobu Ueshima,2019,2020,1,Exact
A5009985129,Hironobu Ueshima,doi:10.1097/md.0000000000012746,10.1097/md.0000000000012746,Hironobu Ueshima,2018,2020,2,Exact
A5009985129,Hironobu Ueshima,doi:10.1136/rapm-2018-100091,10.1136/rapm-2018-100091,Hironobu Ueshima,2019,2020,1,Exact
A5009985129,Hironobu Ueshima,doi:10.1186/s40981-016-0061-6,10.1186/s40981-016-0061-6,Hironobu Ueshima,2016,2020,4,Exact
A5009985129,Hironobu Ueshima,doi:10.1186/s40981-018-0161-6,10.1186/s40981-018-0161-6,Hironobu Ueshima,2018,2020,2,Exact
A5009985129,Hironobu Ueshima,doi:10.4236/ojanes.2017.710035,10.4236/ojanes.2017.710035,Hironobu Ueshima,2017,2021,4,Exact
A5009985129,Hironobu Ueshima,doi:10.4236/ojanes.2019.93004,10.4236/ojanes.2019.93004,Hironobu Ueshima,2019,2021,2,Exact
